text,label,label_text
Let me have sandwich.,1,Create Order
"I want sandwich, burger.",1,Create Order
"I want pasta, fries.",1,Create Order
I’ll take burger.,1,Create Order
Add lasagna and sandwich to my order.,1,Create Order
Order this salad.,1,Create Order
"I’ve been craving a lasagna, can you add that?",1,Create Order
I’d like a steak and a drink.,1,Create Order
Can I get fries with a side of fries?,1,Create Order
"Take my order: lasagna, grilled salmon, and salad.",1,Create Order
"Add this burger, salad.",1,Create Order
Order pasta and sandwich.,1,Create Order
I’d like a pasta and a drink.,1,Create Order
Order this salad.,1,Create Order
Let me have steak.,1,Create Order
Let me have soup.,1,Create Order
Place an order for grilled salmon.,1,Create Order
Can you add sandwich and pizza to my order?,1,Create Order
"I’ve been craving a steak, can you add that?",1,Create Order
Can you add sandwich and sandwich to my order?,1,Create Order
Place an order for steak.,1,Create Order
"Get pasta, salad, salad for me.",1,Create Order
Just give me a pasta.,1,Create Order
"Add a grilled salmon to my meal, please.",1,Create Order
I’d like a salad and a drink.,1,Create Order
I’d like to have a steak.,1,Create Order
I’d like to have a grilled salmon.,1,Create Order
Bring me a grilled salmon.,1,Create Order
Include sandwich in my cart.,1,Create Order
"I’ve been craving a burger, can you add that?",1,Create Order
Let me have grilled salmon.,1,Create Order
Get me a lasagna.,1,Create Order
I’d like to have a steak.,1,Create Order
Can I get a grilled salmon?,1,Create Order
"Take my order: pasta, pizza, and burger.",1,Create Order
I’ll take soup.,1,Create Order
"Add this salad, lasagna.",1,Create Order
Give me a lasagna with extra cheese.,1,Create Order
Order grilled salmon and fries.,1,Create Order
"Get steak, soup, lasagna for me.",1,Create Order
Include salad in my cart.,1,Create Order
I’d like to have a pizza.,1,Create Order
Can I get a fries?,1,Create Order
"I’ll have a pizza, but can you make it spicy?",1,Create Order
Order burger and burger.,1,Create Order
Can you add pizza and pizza to my order?,1,Create Order
"Add a fries to my meal, please.",1,Create Order
"I’ve been craving a pasta, can you add that?",1,Create Order
Order soup and grilled salmon.,1,Create Order
Let me have pasta.,1,Create Order
"I’ve been craving a fries, can you add that?",1,Create Order
Order this grilled salmon.,1,Create Order
"Add a soup to my meal, please.",1,Create Order
Can I get lasagna with a side of fries?,1,Create Order
Place an order for steak.,1,Create Order
"Get soup, lasagna, sandwich for me.",1,Create Order
I’d like to have a salad.,1,Create Order
"I’ve been craving a lasagna, can you add that?",1,Create Order
Just give me a soup.,1,Create Order
"I want burger, pizza.",1,Create Order
Include steak in my cart.,1,Create Order
"I’ll have a fries, but can you make it spicy?",1,Create Order
Add salad and lasagna to my order.,1,Create Order
Grab me a burger.,1,Create Order
I’ll take grilled salmon.,1,Create Order
"I’ve been craving a sandwich, can you add that?",1,Create Order
"Take my order: lasagna, salad, and salad.",1,Create Order
Just give me a pasta.,1,Create Order
Can I get a burger?,1,Create Order
Give me a burger with extra cheese.,1,Create Order
Can I get pizza with a side of fries?,1,Create Order
Place an order for pasta.,1,Create Order
Add sandwich and pasta to my order.,1,Create Order
Bring me a burger.,1,Create Order
"Add a sandwich to my meal, please.",1,Create Order
Order this fries.,1,Create Order
Let’s make it a lasagna with no onions.,1,Create Order
"Add this pizza, steak.",1,Create Order
"Take my order: burger, grilled salmon, and grilled salmon.",1,Create Order
"Add a fries to my meal, please.",1,Create Order
Order soup and fries.,1,Create Order
Can you add steak and pasta to my order?,1,Create Order
"I’ve been craving a salad, can you add that?",1,Create Order
"I want steak, pizza.",1,Create Order
"Get steak, steak, steak for me.",1,Create Order
"I’ll have a lasagna, but can you make it spicy?",1,Create Order
Bring me a burger.,1,Create Order
Can I get a burger?,1,Create Order
Add steak and pizza to my order.,1,Create Order
Add salad and grilled salmon to my order.,1,Create Order
Can I get a grilled salmon?,1,Create Order
Get me a soup.,1,Create Order
"I want sandwich, sandwich.",1,Create Order
I’d like a soup and a drink.,1,Create Order
"Take my order: fries, sandwich, and salad.",1,Create Order
Include steak in my cart.,1,Create Order
Let’s make it a sandwich with no onions.,1,Create Order
Bring me a fries.,1,Create Order
Can I get a fries?,1,Create Order
"I’ve been craving a pasta, can you add that?",1,Create Order
"I’ll have a soup, but can you make it spicy?",1,Create Order
Can you add grilled salmon and soup to my order?,1,Create Order
Bring me a sandwich.,1,Create Order
Just give me a steak.,1,Create Order
Can I get fries with a side of fries?,1,Create Order
I’d like to have a pasta.,1,Create Order
Give me a sandwich with extra cheese.,1,Create Order
"Get fries, grilled salmon, soup for me.",1,Create Order
Let’s make it a lasagna with no onions.,1,Create Order
Include fries in my cart.,1,Create Order
I’ll take steak.,1,Create Order
Just give me a burger.,1,Create Order
Grab me a pizza.,1,Create Order
I’d like to have a soup.,1,Create Order
Order grilled salmon and lasagna.,1,Create Order
Get me a salad.,1,Create Order
I’d like a sandwich and a drink.,1,Create Order
I’d like a burger and a drink.,1,Create Order
Can you add sandwich and pizza to my order?,1,Create Order
Give me a pasta with extra cheese.,1,Create Order
"I’ve been craving a lasagna, can you add that?",1,Create Order
Add pasta and grilled salmon to my order.,1,Create Order
Can I get a pizza?,1,Create Order
I’ll take steak.,1,Create Order
"I’ll have a sandwich, but can you make it spicy?",1,Create Order
Order this lasagna.,1,Create Order
Can you add lasagna and fries to my order?,1,Create Order
Bring me a burger.,1,Create Order
Let me have steak.,1,Create Order
Order lasagna and fries.,1,Create Order
I’d like to have a grilled salmon.,1,Create Order
I’d like a burger and a drink.,1,Create Order
Just give me a pasta.,1,Create Order
I’d like a soup and a drink.,1,Create Order
Grab me a soup.,1,Create Order
Get me a sandwich.,1,Create Order
"Get salad, sandwich, grilled salmon for me.",1,Create Order
Just give me a pasta.,1,Create Order
Can I get pizza with a side of fries?,1,Create Order
Let me have grilled salmon.,1,Create Order
Give me a lasagna with extra cheese.,1,Create Order
Order this pizza.,1,Create Order
Grab me a salad.,1,Create Order
Can you add lasagna and grilled salmon to my order?,1,Create Order
Grab me a soup.,1,Create Order
"Add this salad, salad.",1,Create Order
Give me a pizza with extra cheese.,1,Create Order
Let me have fries.,1,Create Order
Bring me a burger.,1,Create Order
"I want salad, pasta.",1,Create Order
I’d like a sandwich and a drink.,1,Create Order
I’ll take salad.,1,Create Order
"I want salad, pasta.",1,Create Order
Place an order for salad.,1,Create Order
Just give me a salad.,1,Create Order
Let’s make it a soup with no onions.,1,Create Order
I’d like to have a steak.,1,Create Order
Let’s make it a grilled salmon with no onions.,1,Create Order
Bring me a sandwich.,1,Create Order
Place an order for fries.,1,Create Order
Order grilled salmon and soup.,1,Create Order
"Add this pizza, lasagna.",1,Create Order
I’ll take burger.,1,Create Order
"Add a steak to my meal, please.",1,Create Order
"Get burger, soup, fries for me.",1,Create Order
Can I get a sandwich?,1,Create Order
"I’ll have a soup, but can you make it spicy?",1,Create Order
Let me have soup.,1,Create Order
"Take my order: pasta, salad, and steak.",1,Create Order
Add soup and salad to my order.,1,Create Order
"Add this steak, soup.",1,Create Order
"Add a lasagna to my meal, please.",1,Create Order
Get me a lasagna.,1,Create Order
I’d like a salad and a drink.,1,Create Order
Can I get a grilled salmon?,1,Create Order
"Take my order: burger, grilled salmon, and fries.",1,Create Order
Can I get a salad?,1,Create Order
Order this pizza.,1,Create Order
Just give me a fries.,1,Create Order
Order this salad.,1,Create Order
Let’s make it a sandwich with no onions.,1,Create Order
Let me have burger.,1,Create Order
Let me have steak.,1,Create Order
Give me a sandwich with extra cheese.,1,Create Order
"I’ll have a sandwich, but can you make it spicy?",1,Create Order
Get me a salad.,1,Create Order
"I’ll have a fries, but can you make it spicy?",1,Create Order
I’ll take grilled salmon.,1,Create Order
Order this steak.,1,Create Order
Can you add grilled salmon and burger to my order?,1,Create Order
Grab me a lasagna.,1,Create Order
Can I get a burger?,1,Create Order
"Get grilled salmon, fries, salad for me.",1,Create Order
Bring me a pizza.,1,Create Order
"Take my order: burger, fries, and pasta.",1,Create Order
Can I get steak with a side of fries?,1,Create Order
Get me a burger.,1,Create Order
Let’s make it a salad with no onions.,1,Create Order
Can you add pizza and grilled salmon to my order?,1,Create Order
Let me have pizza.,1,Create Order
"Get soup, pasta, salad for me.",1,Create Order
Get me a fries.,1,Create Order
"Add this pizza, steak.",1,Create Order
Get me a grilled salmon.,1,Create Order
I’d like to have a grilled salmon.,1,Create Order
I’d like to have a soup.,1,Create Order
Order salad and burger.,1,Create Order
Order this salad.,1,Create Order
Can I get grilled salmon with a side of fries?,1,Create Order
Include burger in my cart.,1,Create Order
Let’s make it a fries with no onions.,1,Create Order
Add burger and steak to my order.,1,Create Order
Add pasta and grilled salmon to my order.,1,Create Order
Place an order for steak.,1,Create Order
"Take my order: sandwich, sandwich, and steak.",1,Create Order
"Take my order: sandwich, salad, and steak.",1,Create Order
"I’ve been craving a sandwich, can you add that?",1,Create Order
Can you add burger and grilled salmon to my order?,1,Create Order
"Add this fries, sandwich.",1,Create Order
Let’s make it a pizza with no onions.,1,Create Order
Let’s make it a soup with no onions.,1,Create Order
Can you add burger and grilled salmon to my order?,1,Create Order
Get me a salad.,1,Create Order
Grab me a soup.,1,Create Order
Grab me a steak.,1,Create Order
"I’ve been craving a grilled salmon, can you add that?",1,Create Order
Give me a steak with extra cheese.,1,Create Order
Can I get a sandwich?,1,Create Order
"Add a soup to my meal, please.",1,Create Order
"I’ve been craving a soup, can you add that?",1,Create Order
Add burger and sandwich to my order.,1,Create Order
Include soup in my cart.,1,Create Order
"I’ve been craving a grilled salmon, can you add that?",1,Create Order
Can you add pasta and burger to my order?,1,Create Order
Add soup and lasagna to my order.,1,Create Order
"Get lasagna, steak, burger for me.",1,Create Order
Can I get lasagna with a side of fries?,1,Create Order
"I’ve been craving a lasagna, can you add that?",1,Create Order
"Add this steak, sandwich.",1,Create Order
I’d like to have a steak.,1,Create Order
Give me a lasagna with extra cheese.,1,Create Order
I’d like to have a salad.,1,Create Order
Can I get pasta with a side of fries?,1,Create Order
I’ll take grilled salmon.,1,Create Order
Can you add sandwich and salad to my order?,1,Create Order
Can I get pizza with a side of fries?,1,Create Order
Just give me a soup.,1,Create Order
Grab me a sandwich.,1,Create Order
Grab me a salad.,1,Create Order
Can I get a steak?,1,Create Order
I’d like a grilled salmon and a drink.,1,Create Order
Add pizza and soup to my order.,1,Create Order
I’d like to have a salad.,1,Create Order
Let’s make it a salad with no onions.,1,Create Order
I’ll take grilled salmon.,1,Create Order
Order this pizza.,1,Create Order
"Add this burger, soup.",1,Create Order
"Add this sandwich, pizza.",1,Create Order
Let’s make it a soup with no onions.,1,Create Order
"Get lasagna, lasagna, fries for me.",1,Create Order
"Take my order: salad, pizza, and pizza.",1,Create Order
"I want pizza, pizza.",1,Create Order
"Add this soup, pasta.",1,Create Order
Just give me a lasagna.,1,Create Order
Can you add fries and sandwich to my order?,1,Create Order
Add pizza and soup to my order.,1,Create Order
"Add this burger, steak.",1,Create Order
Give me a fries with extra cheese.,1,Create Order
Order pizza and pizza.,1,Create Order
"I’ve been craving a salad, can you add that?",1,Create Order
"I want salad, burger.",1,Create Order
Order this pizza.,1,Create Order
Let’s make it a steak with no onions.,1,Create Order
Order this pizza.,1,Create Order
Let me have salad.,1,Create Order
"Get salad, lasagna, salad for me.",1,Create Order
"I’ve been craving a pasta, can you add that?",1,Create Order
Order this fries.,1,Create Order
Give me a steak with extra cheese.,1,Create Order
Bring me a soup.,1,Create Order
Add grilled salmon and fries to my order.,1,Create Order
I’ll take sandwich.,1,Create Order
Give me a salad with extra cheese.,1,Create Order
"Add this lasagna, lasagna.",1,Create Order
Order steak and pasta.,1,Create Order
Let’s make it a burger with no onions.,1,Create Order
Let me have steak.,1,Create Order
Get me a soup.,1,Create Order
I’d like to have a soup.,1,Create Order
Let’s make it a grilled salmon with no onions.,1,Create Order
Let’s make it a pasta with no onions.,1,Create Order
"I want soup, pizza.",1,Create Order
"I want pizza, pizza.",1,Create Order
Can you add steak and burger to my order?,1,Create Order
Can I get a sandwich?,1,Create Order
Include lasagna in my cart.,1,Create Order
Can I get a pasta?,1,Create Order
Get me a grilled salmon.,1,Create Order
"Add a salad to my meal, please.",1,Create Order
Order this pizza.,1,Create Order
Let me have grilled salmon.,1,Create Order
Place an order for steak.,1,Create Order
Can you add pizza and pasta to my order?,1,Create Order
Can I get a burger?,1,Create Order
Include burger in my cart.,1,Create Order
Order this sandwich.,1,Create Order
Can I get pasta with a side of fries?,1,Create Order
Add sandwich and grilled salmon to my order.,1,Create Order
"I’ve been craving a salad, can you add that?",1,Create Order
Can I get burger with a side of fries?,1,Create Order
Order this steak.,1,Create Order
Order fries and burger.,1,Create Order
Can you add burger and soup to my order?,1,Create Order
I’d like to have a pasta.,1,Create Order
Give me a burger with extra cheese.,1,Create Order
"I’ve been craving a lasagna, can you add that?",1,Create Order
"Add a pizza to my meal, please.",1,Create Order
"I’ll have a burger, but can you make it spicy?",1,Create Order
Can you add steak and sandwich to my order?,1,Create Order
Place an order for sandwich.,1,Create Order
"Take my order: salad, steak, and fries.",1,Create Order
"I’ll have a grilled salmon, but can you make it spicy?",1,Create Order
Can you add lasagna and burger to my order?,1,Create Order
Let me have steak.,1,Create Order
I’d like to have a fries.,1,Create Order
Can I get a sandwich?,1,Create Order
Can I get a sandwich?,1,Create Order
Include steak in my cart.,1,Create Order
"I’ll have a grilled salmon, but can you make it spicy?",1,Create Order
Can I get a fries?,1,Create Order
Add salad and lasagna to my order.,1,Create Order
Give me a burger with extra cheese.,1,Create Order
Get me a soup.,1,Create Order
I’d like a steak and a drink.,1,Create Order
"Get pizza, lasagna, burger for me.",1,Create Order
Add sandwich and pizza to my order.,1,Create Order
Bring me a fries.,1,Create Order
"Take my order: pasta, steak, and salad.",1,Create Order
Order this soup.,1,Create Order
Can you add sandwich and soup to my order?,1,Create Order
"Add this steak, burger.",1,Create Order
Give me a grilled salmon with extra cheese.,1,Create Order
Let me have burger.,1,Create Order
Give me a soup with extra cheese.,1,Create Order
Bring me a salad.,1,Create Order
I’ll take steak.,1,Create Order
"I’ve been craving a grilled salmon, can you add that?",1,Create Order
Can I get pizza with a side of fries?,1,Create Order
I’ll take sandwich.,1,Create Order
Grab me a steak.,1,Create Order
"I’ll have a grilled salmon, but can you make it spicy?",1,Create Order
I’ll take grilled salmon.,1,Create Order
Can I get burger with a side of fries?,1,Create Order
Just give me a pasta.,1,Create Order
Place an order for lasagna.,1,Create Order
"Get burger, burger, sandwich for me.",1,Create Order
"Get pizza, soup, steak for me.",1,Create Order
Order this pizza.,1,Create Order
Can I get pizza with a side of fries?,1,Create Order
"I want steak, salad.",1,Create Order
I’ll take sandwich.,1,Create Order
Order pizza and burger.,1,Create Order
Order pasta and steak.,1,Create Order
I’d like to have a sandwich.,1,Create Order
Can I get a sandwich?,1,Create Order
"Add a grilled salmon to my meal, please.",1,Create Order
Order this pasta.,1,Create Order
Can you add steak and soup to my order?,1,Create Order
Add lasagna and lasagna to my order.,1,Create Order
Order this soup.,1,Create Order
Order this lasagna.,1,Create Order
Grab me a fries.,1,Create Order
"Get sandwich, burger, steak for me.",1,Create Order
"I’ll have a fries, but can you make it spicy?",1,Create Order
"Take my order: steak, soup, and fries.",1,Create Order
Just give me a lasagna.,1,Create Order
Can I get a steak?,1,Create Order
Let’s make it a fries with no onions.,1,Create Order
Get me a burger.,1,Create Order
Order this grilled salmon.,1,Create Order
I’d like a burger and a drink.,1,Create Order
Just give me a soup.,1,Create Order
"Add this pasta, salad.",1,Create Order
Bring me a sandwich.,1,Create Order
Just give me a fries.,1,Create Order
"I want burger, lasagna.",1,Create Order
"Add a soup to my meal, please.",1,Create Order
Include grilled salmon in my cart.,1,Create Order
Give me a lasagna with extra cheese.,1,Create Order
"Take my order: soup, pasta, and pizza.",1,Create Order
Get me a fries.,1,Create Order
Can I get a pizza?,1,Create Order
"I want salad, pasta.",1,Create Order
Get me a lasagna.,1,Create Order
Add lasagna and steak to my order.,1,Create Order
"Add a salad to my meal, please.",1,Create Order
Order this pasta.,1,Create Order
Bring me a burger.,1,Create Order
Place an order for grilled salmon.,1,Create Order
I’d like to have a fries.,1,Create Order
Include lasagna in my cart.,1,Create Order
Give me a pizza with extra cheese.,1,Create Order
Can you add lasagna and pasta to my order?,1,Create Order
Order fries and salad.,1,Create Order
"Get grilled salmon, soup, steak for me.",1,Create Order
Add pasta and soup to my order.,1,Create Order
"Add this pizza, steak.",1,Create Order
Bring me a sandwich.,1,Create Order
Order this sandwich.,1,Create Order
"Take my order: burger, burger, and steak.",1,Create Order
Let me have lasagna.,1,Create Order
Bring me a soup.,1,Create Order
"Get sandwich, sandwich, pizza for me.",1,Create Order
Include lasagna in my cart.,1,Create Order
Give me a pizza with extra cheese.,1,Create Order
"I’ve been craving a pizza, can you add that?",1,Create Order
Get me a pasta.,1,Create Order
"Take my order: steak, pasta, and steak.",1,Create Order
Can I get a pasta?,1,Create Order
Order this soup.,1,Create Order
I’d like to have a burger.,1,Create Order
"Get grilled salmon, pizza, soup for me.",1,Create Order
Let me have pasta.,1,Create Order
Let’s make it a lasagna with no onions.,1,Create Order
Place an order for salad.,1,Create Order
Order pasta and fries.,1,Create Order
Can I get a fries?,1,Create Order
Give me a salad with extra cheese.,1,Create Order
Add lasagna and burger to my order.,1,Create Order
"Add a soup to my meal, please.",1,Create Order
Order steak and pizza.,1,Create Order
Just give me a salad.,1,Create Order
Can I get a sandwich?,1,Create Order
"I want sandwich, fries.",1,Create Order
Can I get a fries?,1,Create Order
Just give me a soup.,1,Create Order
Give me a fries with extra cheese.,1,Create Order
Just give me a salad.,1,Create Order
"Get salad, grilled salmon, pizza for me.",1,Create Order
"I’ll have a burger, but can you make it spicy?",1,Create Order
Order fries and burger.,1,Create Order
Let me have soup.,1,Create Order
I’d like a pizza and a drink.,1,Create Order
"I’ll have a pasta, but can you make it spicy?",1,Create Order
Can I get a sandwich?,1,Create Order
I’ll take grilled salmon.,1,Create Order
Can you add pasta and salad to my order?,1,Create Order
I’ll take salad.,1,Create Order
"Get sandwich, steak, grilled salmon for me.",1,Create Order
Place an order for sandwich.,1,Create Order
Bring me a sandwich.,1,Create Order
"Add this pasta, pizza.",1,Create Order
"I’ll have a grilled salmon, but can you make it spicy?",1,Create Order
"I’ll have a lasagna, but can you make it spicy?",1,Create Order
I’ll take salad.,1,Create Order
Get me a lasagna.,1,Create Order
Add sandwich and lasagna to my order.,1,Create Order
Can you add grilled salmon and fries to my order?,1,Create Order
I’d like to have a grilled salmon.,1,Create Order
Include soup in my cart.,1,Create Order
Give me a fries with extra cheese.,1,Create Order
"I’ve been craving a soup, can you add that?",1,Create Order
I’d like a burger and a drink.,1,Create Order
Can I get steak with a side of fries?,1,Create Order
"I want burger, burger.",1,Create Order
I’ll take fries.,1,Create Order
Can you add steak and pasta to my order?,1,Create Order
Can you add pasta and grilled salmon to my order?,1,Create Order
Add fries and steak to my order.,1,Create Order
Just give me a sandwich.,1,Create Order
Place an order for pasta.,1,Create Order
Include lasagna in my cart.,1,Create Order
Bring me a pasta.,1,Create Order
Order steak and sandwich.,1,Create Order
Let me have pizza.,1,Create Order
"Take my order: sandwich, pasta, and sandwich.",1,Create Order
Can you add grilled salmon and grilled salmon to my order?,1,Create Order
Grab me a pizza.,1,Create Order
Just give me a steak.,1,Create Order
Place an order for salad.,1,Create Order
Bring me a pasta.,1,Create Order
Can I get a soup?,1,Create Order
Get me a lasagna.,1,Create Order
Can I get sandwich with a side of fries?,1,Create Order
Grab me a burger.,1,Create Order
"I want fries, soup.",1,Create Order
Get me a pizza.,1,Create Order
"I want grilled salmon, salad.",1,Create Order
Order soup and steak.,1,Create Order
Order this salad.,1,Create Order
Let me have soup.,1,Create Order
Order steak and pasta.,1,Create Order
Let’s make it a grilled salmon with no onions.,1,Create Order
Give me a burger with extra cheese.,1,Create Order
Give me a burger with extra cheese.,1,Create Order
Can you add steak and sandwich to my order?,1,Create Order
Can I get a soup?,1,Create Order
"Get lasagna, lasagna, fries for me.",1,Create Order
"I’ll have a grilled salmon, but can you make it spicy?",1,Create Order
Bring me a soup.,1,Create Order
Cancel the sandwich from the cart.,2,Remove Order
"Change my order, remove the sandwich.",2,Remove Order
Forget the salad from my list.,2,Remove Order
Take the pasta out of my order.,2,Remove Order
Take the steak out of my order.,2,Remove Order
Scratch the soup off my list.,2,Remove Order
Remove the pasta from my cart.,2,Remove Order
Can you cancel the burger I selected?,2,Remove Order
Please cancel my order for the sandwich.,2,Remove Order
Remove the lasagna I added earlier.,2,Remove Order
Please make my order without the burger.,2,Remove Order
I no longer want the pizza in my order.,2,Remove Order
I don’t want the pasta anymore.,2,Remove Order
Please cancel my order for the grilled salmon.,2,Remove Order
Please remove salad from my order.,2,Remove Order
Forget the burger from my list.,2,Remove Order
I no longer want the soup in my order.,2,Remove Order
Forget the grilled salmon from my list.,2,Remove Order
Forget the salad I added.,2,Remove Order
Can you take the pasta off the order?,2,Remove Order
Take the salad off the menu for me.,2,Remove Order
I no longer want the grilled salmon in my order.,2,Remove Order
"Change my order, remove the salad.",2,Remove Order
Remove the sandwich from my cart.,2,Remove Order
Remove the pizza from my cart.,2,Remove Order
Please remove salad from my order.,2,Remove Order
Can you take the fries off the order?,2,Remove Order
I no longer want the sandwich in my order.,2,Remove Order
"Change my order, remove the pasta.",2,Remove Order
Forget the salad from my list.,2,Remove Order
Remove the lasagna I added earlier.,2,Remove Order
"Change my order, remove the lasagna.",2,Remove Order
Can you take the steak off the order?,2,Remove Order
I’d like to delete the sandwich.,2,Remove Order
Can you take the pasta off the order?,2,Remove Order
Please cancel my order for the soup.,2,Remove Order
Please remove sandwich from my order.,2,Remove Order
Cancel the fries from the cart.,2,Remove Order
